date,id,company,title,salary,fixed_overtime,verdict,status,notes
2026-09-01,111056,ランドコンピュータ,SE（上流一気通貫）,400-700万,なし,✅本命,検討中,独立系SIer・東証上場・50年黒字。必須が「開発経験・年数問わず」。客先常駐の契約形態（請負か派遣か）を確認。固定残業なし
2026-09-01,135779,AMBL,バックエンド,450-700万,10h,✅,検討中,データ/AI事業。C#実装1年で必須に交差。固定残業10h・面接1回。クライアント先勤務の比率を確認
2026-09-01,68459,キャピタル・アセット・プランニング,バックエンド,400-900万,30h,✅,検討中,上場SIer・自社内開発・必須が「基本的なプログラミング」レベル。⚠️基本給27,037円〜の給与体系を確認
2026-09-01,75254,ラクス,バックエンド,567-966万,20h,✅,検討中,自社SaaS（楽楽シリーズ）・東証プライム・評判良。Web開発3年のカウント可否を確認。SPI対策必要
2026-09-01,66062,ウィルオブ・ワーク,Web系,380-900万,20h,⚠️,検討中,本業は派遣・請負会社のSI事業部。直取引100%・上流工程だが、請負か派遣かを確認してから応募。在留更新リスク要確認
2026-09-01,166526,クラウドワークスコンサルティング,バックエンド,390-869万,30h,⚠️,検討中,旧インゲート＝SESサイン。9割リモート・案件選択制だが、準委任/請負/派遣かを確認。派遣なら除外
2026-09-01,103397,ファンリード,クラウドエンジニア,500-950万,30h,⚠️,検討中,挑戦枠・練習台。AWS実務必須を満たさない。太陽HDグループ・池袋本社内勤務。資格3冠を武器に緩和を狙う
2026-09-01,96039,ジャパニアス,バックエンド/アプリ,252-900万,-,⚠️,検討中,神奈川勤務可・年休128日。オンサイト型開発支援＝常駐サイン。年収下限252万を確認
2026-09-01,96948,アイエスエフネット,クラウド/ヘルプデスク,394万〜,-,❌,未選定,英語必須（電話・メール・ドキュメント）＋ITヘルプデスク。ハード除外
2026-09-01,205367,アクサス,クラウド,360万〜,20h,❌,未選定,エンジニアリングサービス（SES系）。クラウド実務必須＋東京は2027年3月以降入社＝時期が合わない。基本給14.5万
2026-09-01,93430,ソリューションウェア,Web,500-700万,-,⚠️,未選定,受託＋自社製品＋SES案件の混在を明記。WEB実装1年含む2年。SES比率を確認
2026-09-01,122957,日本コンピュータシステム,ERP導入コンサル,380-800万,-,⚠️,未選定,自社ERPパッケージ。必須3択（DB開発/ERP導入/業務実務）。挑戦枠。常駐あり
2026-09-01,140029,テノン,SE,500-1000万,-,⚠️,未選定,自社内・パッケージ開発。英語中級（歓迎）＝業務で英語発生の可能性。面接3回。エンタープライズ設計経験が数えられるか
2026-09-01,168449,アクセンチュア,Java開発,480万〜,-,❌,未選定,Java2年＋Spring/TS/React必須。Java実務なし＝交差ゼロ
2026-09-01,175678,メイテックフィルダーズ,情報処理,370-720万,-,❌,未選定,技術者派遣系（日立系）。未経験枠は機械系限定
2026-09-01,176359,テクノプロデザイン,Web/業務系,450-800万,-,❌,未選定,技術者派遣大手。取引先構内勤務（常駐）
2026-09-01,177216,ARアドバンストテクノロジ,開発,450万〜,-,❌,未選定,Javaバックエンド3年必須
2026-09-01,193996,Talenship,開発,410-817万,20h,⚠️,未選定,客先常駐明記・SI事業。C#コーディング1.5年で要件は満たせるが事業形態がSES系
2026-09-01,66640,アルプス技研,バックエンド,300万〜,-,❌,未選定,技術者派遣（上場）。派遣事業許可番号明記。Java/PHP必須
2026-09-01,83398,フューチャー・アンティークス,バックエンド,360-800万,21h,⚠️,未選定,客先常駐明記。開発1年言語不問で要件は満たす。常駐比率を確認
2026-09-01,100032,テクノクリエイティブ,SE,350-700万,-,⚠️,未選定,Web/オープン1年・面接1回・プライム9割。客先常駐あり
2026-09-01,212922,アルサーガパートナーズ,生成AI,400-600万,45h,❌,未選定,Python実装必須＋固定残業45h。交差が薄い
2026-09-01,107977,ウエルストーン,SE,330-450万,-,⚠️,未選定,育成枠（学習中も可）だが年収低め。優先度低
2026-09-01,145001,コンピューターマネージメント,PL,550-700万,-,❌,未選定,金融系PL経験必須＝経験不足
2026-09-01,152404,パーソルクロステクノロジー,開発,450-700万,-,❌,未選定,パーソルグループの派遣系。開発2年＋フレームワーク必須
