date,wasid,company,title,salary,verdict,status,notes
2026-09-02,1004508809,ケアリッツ・テクノロジーズ,システムエンジニア（内製開発・プライム案件）,450-700万,✅,DODA紹介,内製開発・正社員チームで上流〜下流一貫。必須は開発実装1年以上。新宿。平均残業12.9h・2026年上場予定。面接2回＋筆記試験
2026-09-02,1003756113,ケアリッツ・テクノロジーズ,アプリエンジニア（ポジションサーチ）,408-640万,✅,DODA紹介,システム開発実装2年以上。歓迎に詳細設計経験（現職の強み）。平均年収604万。面接2回＋筆記試験
2026-09-02,1003622262,スタイル・フリー,アプリエンジニア,450-800万,✅,DODA紹介,必須は「システム開発の実務経験（言語不問）」＝C#で満たす。残業月7h・年休130日・フルリモ案件7割・前給与考慮。面接1回
2026-09-02,1003847414,アルティウスリンク,アプリエンジニア,400-650万,✅,DODA紹介,KDDI×三井物産系。オープン系開発経験（工程問わず）・C#歓迎。面接1回。研修・資格支援充実
2026-09-02,1003677918,レプラホーン,開発エンジニア,400-600万,✅,DODA紹介,言語問わず開発1年以上・面接1回・残業10h・リモート可
2026-09-02,1004703412,辰巳電子工業,アプリエンジニア（プライム8割）,410-800万,✅,DODA紹介,アプリ実務1年半（言語不問・保守のみでもOK）。C#歓迎。定着率98%。面接2回
2026-09-02,1004353132,ABI,開発エンジニア,400-600万,✅,DODA紹介,何らかの言語での開発実務。C#活かせる。21期連続黒字・在宅可・第二新卒歓迎・面接1回
2026-09-02,1004514832,オプティマ,システムエンジニア,404-680万,✅,DODA紹介,ITシステム開発1年（C#/Java含む）。実働7.5h・残業少・面接1回
2026-09-02,1004496653,AMBL,クラウドエンジニア(AWS)ポテンシャル枠,430-600万,✅挑戦枠,DODA紹介,【修正】明示的な「ポテンシャル枠」＝育成前提。AWS資格3冠＋現職のAWS移行案件参画で書類は書ける。レバテック版（バックエンド）は検討中。同社で2本応募可
2026-09-02,1004519946,プロトコーポレーション,自社AWSソリューションアーキテクト,391-700万,✅挑戦枠,DODA紹介,【修正】「AWS実務不問」と明記＝育成枠。自社メディア・二卒歓迎。SA職だが応募自体は可
2026-09-02,1004519902,プロトコーポレーション,自社メディアインフラエンジニア（AWS）,391-700万,✅挑戦枠,DODA紹介,【修正】自社・二卒歓迎。AWS実務がなくても応募可
2026-09-02,1004784784,日本ソフトウエア,インフラエンジニア（未経験歓迎）,390-470万,⚠️挑戦枠,DODA紹介,【修正】未経験歓迎・自社勤務中心と明記。年収は390万〜で基準ギリギリ
2026-09-02,1004718723,アイセル,インフラエンジニア（未経験可）,300-600万,⚠️挑戦枠,DODA紹介,【修正】未経験可・原則自社勤務・フレックス。ただし年収下限300万は要確認
2026-09-02,1004019850,ジェネスティコンサルティング,サーバーエンジニア,300-600万,⚠️挑戦枠,DODA紹介,【修正】ポテンシャル歓迎と明記。年収下限300万は要確認
2026-09-02,1004644891,テクノブレイブ,インフラエンジニア,400-650万,⚠️要確認,DODA紹介,【修正】インフラだが定着率90%・WLB良いと記載。要件の「未経験可か即戦力か」を確認してから
2026-09-02,1004517345,システムシェアード,SE（微経験歓迎）,350-623万,⚠️要確認,DODA紹介,微経験歓迎。開発かインフラか・常駐かを確認
2026-09-02,1004604040,トビラシステムズ,Webシステム開発／SRE（自社開発）,350-900万,⚠️挑戦枠(低確率),DODA紹介,【修正】自社開発（東証スタンダード・社会貢献性高い）。必須はLinux/docker/AWS使用経験で交差薄いが、応募は可。SRE＝インフラ寄り
2026-09-02,1004657863,日総工産,保険契約者向けWebシステム開発,400-600万,⚠️挑戦枠(低確率),DODA紹介,【修正】保険系Web開発＝現職の損保基幹と業界が近い。必須はAWS CDK等で交差薄いが、保険ドメイン経験を武器に応募可
2026-09-02,1004025861,ライトウェル（住友重機械G）,アプリケーションエンジニア,605-825万,⚠️挑戦枠(低確率),DODA紹介,【修正】高年収・大手グループ。必須がC/C++/Linux/DB2のいずれか＝C#のみでは交差薄いが、応募自体は可
2026-09-02,1004789028,ザイナス,クラウドエンジニア（AWS設計構築）,400-700万,⚠️挑戦枠(低確率),DODA紹介,【修正】インフラ即戦力前提だが応募可。AWS資格3冠を書類で打ち出す
2026-09-02,1004595563,ビリングシステム,インフラエンジニア,400-736万,⚠️挑戦枠(低確率),DODA紹介,【修正】インフラ職。在宅可・残業20h。応募可・通過確率は低い
2026-09-02,1004775444,タック,インフラエンジニア,420-720万,⚠️挑戦枠(低確率),DODA紹介,【修正】インフラ職。リモート案件有。応募可
2026-09-02,1003738724,TOKAIコミュニケーションズ,クラウドエンジニア,460-600万,⚠️挑戦枠(低確率),DODA紹介,【修正】インフラ職・管理職候補（PM志向）。応募可
2026-09-02,1004636796,キャリアデザインセンター,サーバー構築（AWS）,400-750万,⚠️挑戦枠(低確率),DODA紹介,【修正】インフラ職。応募可
2026-09-02,1004643596,キャリアデザインセンター,システム導入支援（AWS）,400-750万,⚠️挑戦枠(低確率),DODA紹介,【修正】インフラ職。応募可
2026-09-02,1003828564,こだわり,SE,360-500万,⚠️挑戦枠,DODA紹介,ポテンシャル歓迎・現年収以上確約・残業10h・在宅7割。年収下限360万は基準ギリギリ
2026-09-02,1004703518,辰巳電子工業,アプリエンジニア（第二新卒）,400-500万,⚠️挑戦枠,DODA紹介,プライム8割・教育体制◎。本命版（410-800万）と合わせて2本可
2026-09-02,1004692524,フューチャー・アンティークス,開発エンジニア,360-500万,⚠️要確認,DODA紹介,別求人。常駐の有無を確認（本社勤務なら可）
2026-09-02,1002706144,フューチャー・アンティークス,開発エンジニア（案件選択制）,350-500万,❌,DODA紹介,プロジェクト先勤務（常駐）明記＝構造的除外（経験の問題ではない）
2026-09-02,1003811502,ソリューションジャパン,インフラエンジニア,320-450万,❌,DODA紹介,大阪・年収320万〜＝基準（350万未満は辞退）に抵触
2026-09-02,1003811505,ソリューションジャパン,インフラエンジニア（未経験歓迎）,320-450万,❌,DODA紹介,同上・年収低
2026-09-02,1004189928,コンピュータマインドエナジー1,インフラエンジニア,375-750万,❌,DODA紹介,サーバ設計構築が主。本社沖縄/川崎サテライト。要件に未経験可の記載なし
2026-09-02,1004786759,アルファ・プランニング,インフラエンジニア,340-600万,❌,DODA紹介,顧客先勤務（常駐）＝構造的除外
2026-09-02,1004045350,キャリアデザインセンター,開発エンジニア＜常駐＞,400-750万,❌,DODA紹介,常駐明記＝構造的除外
2026-09-02,1004665962,AKKODiSコンサルティング,アプリエンジニア（第二新卒）,425-500万,❌,DODA紹介,レバテック調査で判定済み（客先常駐）
2026-09-02,1003996503,エーエスエル,WEBアプリエンジニア,450-790万,❌,DODA紹介,案件選択制＝SES臭（経験の問題ではない）
2026-09-02,1004357631,クリア,アプリ・開発エンジニア（案件選択制）,385-1050万,❌,DODA紹介,案件選択制・フリーランス的＝SES臭
2026-09-02,1004519065,BREXA SOLVIA,AIエンジニア（未経験歓迎）,431万〜,❌,DODA紹介,AI特化＝基準のハード除外
2026-09-02,1004592037,Avintonジャパン,ITエンジニア（AI）,300-650万,❌,DODA紹介,AI特化＝基準のハード除外
2026-09-02,1004670965,アクサス,アプリエンジニア,360-700万,❌,DODA紹介,レバテック調査で判定済み。SES系＋東京は2027年3月以降入社（時期が構造的に合わない）
2026-09-02,1003714009,BREXA Technology,開発エンジニア,350-700万,❌,DODA紹介,派遣明記＝構造的除外
2026-09-02,1004335079,BREXA Technology,開発エンジニア,500-700万,❌,DODA紹介,派遣明記
2026-09-02,1003704098,クローバー・サン,インフラエンジニア（監視・ヘルプデスク）,400-500万,❌,DODA紹介,監視・ヘルプデスク＝基準のハード除外
2026-09-02,1004646423,KSK,未経験歓迎（首都圏）,440-650万,❌,DODA紹介,お客様先勤務（常駐）＝構造的除外。1月以降入社
2026-09-02,1004646422,KSK,システムエンジニア（未経験歓迎）,440-650万,❌,DODA紹介,お客様先勤務（常駐）
2026-09-02,1004628011,パーソルクロステクノロジー,業務改善エンジニア,400-700万,❌,DODA紹介,レバテック調査で判定済み（派遣系）
2026-09-02,1004375008,アルプス技研,アプリエンジニア,650-700万,❌,DODA紹介,レバテック調査で判定済み（派遣）
2026-09-02,1004041328,クロス・ヘッド,インフラ運用設計（自社サービス）,400-800万,❌,DODA紹介,自社サービスだがインフラ運用設計職。インフラ即戦力枠。要件未確認だが優先度低
2026-09-02,1004434450,テクノプロ,アプリ開発エンジニア,400-800万,❌,DODA紹介,テクノプロ＝派遣大手
2026-09-02,1003907253,テクノプロ,アプリエンジニア（第二新卒）,380-650万,❌,DODA紹介,派遣大手
2026-09-02,1004492747,テクノプロ,クラウドエンジニア（AWS）,500-850万,❌,DODA紹介,派遣大手・インフラ職
2026-09-02,1004411908,テクノプロ,クラウドエンジニア,450-800万,❌,DODA紹介,派遣大手・インフラ職
2026-09-02,1004361307,テクノプロ,開発・インフラエンジニア（Java/AWS/Linux）,460-650万,❌,DODA紹介,派遣大手
2026-09-02,1004361287,テクノプロ,開発・インフラエンジニア,450-650万,❌,DODA紹介,派遣大手
2026-09-02,1004797507,テクノプロ三田,AWSクラウドエンジニア,400-650万,❌,DODA紹介,派遣大手（テクノプログループ）
2026-09-02,1004725825,プロトシステム,未経験インフラ（10月入社枠）,300-405万,❌,DODA紹介,年収300万＝基準外（350万未満は辞退）
2026-09-02,1004306312,プロトシステム,未経験インフラ（11月入社枠）,300-405万,❌,DODA紹介,同上
2026-09-02,1003914417,ライズ,インフラSE,350-550万,❌,DODA紹介,年収350万〜＝基準ぎりぎり。インフラ職・優先度低
2026-09-02,1004735796,綜合キャリアオプション,ITサポート（未経験）,363-500万,❌,DODA紹介,サポート職＝基準のハード除外
2026-09-02,1004542231,エーティ・プランニング,インフラエンジニア（未経験）,380-400万,❌,DODA紹介,年収380万〜・インフラ職。第二新卒向け。優先度低
